Ransom Riggs,#1 Miss Peregrine's Home for Peculiar Children,⭐️⭐️⭐️,Finished
Rachel Ward,Numbers,⭐️⭐️⭐️,Finished
Richard Preston,The Hot Zone (ebola virus),⭐️⭐️⭐️,Finished
Ray Bradbury,Fahrenheit 451,⭐️⭐️⭐️⭐️,Finished
Richelle Mead,Vampire academy #1- Vampire Academy,⭐️⭐️⭐️⭐️⭐️,Finished
Richelle Mead,Vampire academy #5 Spirit Bound,⭐️⭐️⭐️⭐️⭐️,Finished
Richelle Mead,Vampire academy #3 Shadow Kiss,⭐️⭐️⭐️⭐️⭐️,Finished
Richelle Mead,Vampire academy #4 Blood Promise,⭐️⭐️⭐️⭐️⭐️,Finished
Richelle Mead,Vampire academy #2 Frostbite,⭐️⭐️⭐️⭐️⭐️,Finished
Richelle Mead,Vampire Academy #6 Last Sacrifice,⭐️⭐️⭐️⭐️⭐️,Finished
Richelle Mead,Bloodlines #3 The Indigo Spell,⭐️⭐️⭐️⭐️,Finished
Roald Dahl,Lamb to the Slaughtern (Childhood),⭐️⭐️⭐️⭐️⭐️,Finished
Richelle Mead,Bloodlines #2 The Golden Lily,⭐️⭐️⭐️⭐️⭐️,Finished
Richelle Mead,Bloodlines #1- Bloodlines,⭐️⭐️⭐️⭐️⭐️,Finished
Roald Dahl,The Wish,?,Finished
R. J. Palacio,Wonder,⭐️⭐️⭐️,Finished
Roald Dahl,The Sound Machine,⭐️⭐️⭐️⭐️,Finished
Roald Dahl,An African Story,⭐️⭐️⭐️⭐️,Finished
Roald Dahl,Skin,⭐️⭐️⭐️⭐️,Finished
Robert Louis Stevenson,The Strange Case of Dr. Jekyll and Mr. Hyde,⭐️⭐️⭐️⭐️⭐️,Finished
Scott Westerfeld,Uglies series #2 Pretties,⭐️⭐️⭐️⭐️⭐️,Finished
Shakespeare,The Tragedy of Julius Caesar,⭐️⭐️⭐️⭐️,Finished
Rory Power,Wilder Girls,⭐️⭐️⭐️,Finished
Scott Westerfeld,Uglies series #3 Specials,⭐️⭐️⭐️⭐️⭐️,Finished
Rosa Guerrero,Remedios Naturalres Para las Alergias,?,Finished
Scott Westerfeld,Uglies series #1 Uglies,⭐️⭐️⭐️⭐️⭐️,Finished
Scott Westerfeld,Uglies series #4 Extras,⭐️⭐️⭐️⭐️⭐️,Finished
Sherman Alexie,The Absolutely True Diary of a Part-Time Indian,⭐️⭐️⭐️⭐️⭐️,Finished
Simon Scarrow,Eagles of The Empire series#1-Under the Eagle,⭐️⭐️⭐️⭐️⭐️,Finished
Simone Elkeles,Química Perfecta,⭐️⭐️,Finished
Simon Scarrow,Eagles of The Empire series#4 The eagle and the Wolves,⭐️⭐️⭐️⭐️⭐️,Finished
Simon Scarrow,Eagles of The Empire series#3 When The eagle Hunts,⭐️⭐️⭐️⭐️⭐️,Finished
Simon Scarrow,Eagles of The Empire series#2 The eagle’s Conquest,⭐️⭐️⭐️⭐️⭐️,Finished
